Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Type,Date,Overlay Transparency
Fj,audio/WF1-WFCD28-foleyFj12.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/WF1/WFCD28,"Fj (speed 7 1/2) side 1 (15:30) ""S nikau & Tinapati: Conversation S nikau: Narrative"" side 2 (5:54) ""S nikau: short text and Texts, Milner 1 & 2 page 126"". Language as given: Lauan",5,,-18.839,-178.875,,,,,speech,1977-01-01,
"Rarotonga, Maori, New Guinea Word Lists",audio/AC1-105-A2.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AC1/105,"A16594 Rarotonga (Mangaia) - Cook Islands Maori, collected at Magaia, an island south-east of Rarotonga Island.Maori par 1, Par 2:1-9 - Not clear if this is a separate entry (eg. NZ Maori).New Guinea word lists - To be checked aurally. Language as given: Rarotonga, Maori",5,,-20.385,-158.5685,,,,,music,1900-01-01,
TeꞌAre Moe Kōrero #2,audio/SN1-MM20130712Museum-SyncedQT.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SN1/MM20130712Museum,Respeaking and translation of TeꞌAre Moe Kōrero by Tangi Purea. Proverbs. The Story of Ina. Language as given:,5,,-20.385,-158.5685,,,,,speech,2013-07-12,
Putai Kairae Tells her story,audio/SN1-PTKairae20131126RA1-FCPSYViaPT.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SN1/PTKairae20131126RA1,Putai Kairae Tells her life story to SATN. Some traditional stories are also discussed.. Language as given:,5,,-20.385,-158.5685,,,,,speech,2013-11-25,
Jack Ward's Recordings - Hawaiian (Mrs Pukui); Kapingamarangi (Taito amarangi),audio/AC1-014-A.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AC1/014,"Informants' names in parenthesis. -- Side 1:Hawaiian - Polynesian language of the Hawaiian Islands. -- Kapingamarangi - Polynesian outlier language on the island of this name, in the South Carolines Micronesia. -- Note in box only also identifies Side 2 recordings of Polynesian languages: --Raratonga (Mrs Over) --Hawaiian (Mrs Pukui) --Kapingamarangi (preceded and followed by comments in Capell's short-hand).. Language as given: Hawaiian; Kapingamarangi",5,,20.58,-157.529,,,,,speech,1900-01-01,
Mangareva; Tuamotu; Tahiti (cont.),audio/AC1-018-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AC1/018,Box note confirms card details. -- Side 1:Mangareva - Eastern Pacific Polynesian language related to the Marquessan languages but located south of the Tuamotu language group. -- Tuamotu - Eastern Pacific Polynesian language (also called Pa'umoto). -- Side 2: Tahiti (cont) - Eastern Pacific Polynesian language spoken in the Society Islands.; (Date given is approximate). Language as given: Mangareva; Tuamotu (Pa'umotu); Tahiti,5,,-16.401,-149.3025,,,,,speech,1960-01-01,
"small tapes, Tahitian",audio/SAW1-014-01_B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/SAW1/014,"Physical tapes held at The Australian National University. ANU Archives item ID correspondences presented below:
Tahitian (2) 1965: SAW1-014-01_A & SAW1-014-01_B = ANUA 233-129-02
Tahitian (3) 1965: SAW1-014-02_A & SAW1-014-02_B = ANUA 233-129-03
Tahitian (4) 1965: SAW1-014-03_A & SAW1-014-03_B = ANUA 233-129-04
Tahitian (5) 1965: SAW1-014-04_A & SAW1-014-04_B = ANUA 233-129-05
Tahitian 1971: SAW1-014-05_A & SAW1-014-05_B = ANUA 233-129-06. Language as given: Tahitian",5,,-16.401,-149.3025,,,,,speech,1971-01-01,
Fijian meke,audio/AS2-010-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AS2/010,"Notes copied by Al Schütz from tape boxes, not always legible. -- 10aFijian meke -- date inferred; (dialect survey data). Language as given: Fijian varieties",5,,-17.4575,-0.7215,,,,,music,1961-02-23,
Tape 31a,audio/AS2-031a-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/AS2/031a,"Tape 31a Side I -- Ba-Yasawa-Nabukeru. Raven-Hart word list cont. from 30a. -- Ba-Naviti-Sasa. Church service. Cont. on Side II.86 -- Side II -- Cont. from Side I.
(date of recording inferred); (dialect survey data). Language as given:",5,,-17.4575,-0.7215,,,,,speech,1961-01-01,
Demesi Taibo / Makitalena,audio/JS2-F08-B.mp3,PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F08,"Side A: English w/ Some Koiyo, Demesi Taibo w/ daughter-in-law Daiana in Navutu, Lautoka 06/10/1982
Side B: Fijian w/ Wai, Makitalena, w/ Manoa Taweke in Waidradra, Navua 27/10/1082

mid conv. w/ Luisa Tavusia + Serwuanya Sera . Language as given: English w/ Some Koiyo / Fijian w/ Wai",5,,-17.4575,-0.7215,,,,,speech,1982-10-06,
