Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Type,Date,Overlay Transparency
Lauan recording made in 1977 (WF1-WFCD28),audio/WF1-WFCD28-foleyFj12.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/WF1/WFCD28,"Fj (speed 7 1/2) side 1 (15:30) ""S nikau & Tinapati: Conversation S nikau: Narrative"" side 2 (5:54) ""S nikau: short text and Texts, Milner 1 & 2 page 126"". Language as given: Lauan",5,,-18.84,-178.88,,,https://catalog.paradisec.org.au/collections/WF1/items/WFCD86,,speech,1977-01-01,
"Rarotonga, Maori, New Guinea Word Lists (AC1-105)",audio/AC1-105-A2.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/105,"A16594 Rarotonga (Mangaia) - Cook Islands Maori, collected at Magaia, an island south-east of Rarotonga Island.Maori par 1, Par 2:1-9 - Not clear if this is a separate entry (eg. NZ Maori).New Guinea word lists - To be checked aurally. Language as given: Rarotonga, Maori",5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/AC1/items/105,,speech,1900-01-01,
TeꞌAre Moe Kōrero #2 (SN1-MM20130712Museum),audio/SN1-MM20130712Museum-SyncedQT.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SN1/MM20130712Museum,Respeaking and translation of TeꞌAre Moe Kōrero by Tangi Purea. Proverbs. The Story of Ina.,5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/SN1/items/MM20130712Museum,,speech,2013-07-12,
Putai Kairae Tells her story (SN1-PTKairae20131126RA1),audio/SN1-PTKairae20131126RA1-FCPSYViaPT.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SN1/PTKairae20131126RA1,Putai Kairae Tells her life story to SATN. Some traditional stories are also discussed.,5,,-20.39,-158.57,,,https://catalog.paradisec.org.au/collections/SN1/items/PTKairae20131126RA1,,speech,2013-11-25,
Jack Ward's Recordings (1960s) - Hawaiian (Mrs Pukui); Kapingamarangi (Taito amarangi) (AC1-014),audio/AC1-014-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/014,"Informants' names in parenthesis. -- Side 1:Hawaiian - Polynesian language of the Hawaiian Islands. -- Kapingamarangi - Polynesian outlier language on the island of this name, in the South Carolines Micronesia. -- Note in box only also identifies Side 2 recordings of Polynesian languages: --Raratonga (Mrs Over) --Hawaiian (Mrs Pukui) --Kapingamarangi (preceded and followed by comments in Capell's short-hand). Language as given: Hawaiian; Kapingamarangi",5,,20.58,-157.53,,,https://catalog.paradisec.org.au/collections/AC1/items/014,,speech,1900-01-01,
Mangareva; Tuamotu; Tahiti (cont.) (AC1-018),audio/AC1-018-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/018,Box note confirms card details. -- Side 1:Mangareva - Eastern Pacific Polynesian language related to the Marquessan languages but located south of the Tuamotu language group. -- Tuamotu - Eastern Pacific Polynesian language (also called Pa'umoto). -- Side 2: Tahiti (cont) - Eastern Pacific Polynesian language spoken in the Society Islands.; (Date given is approximate). Language as given: Mangareva; Tuamotu (Pa'umotu); Tahiti,5,,-16.40,-149.30,,,https://catalog.paradisec.org.au/collections/AC1/items/018,,speech,1960-01-01,
"small tapes, Tahitian (SAW1-014)",audio/SAW1-014-01_B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SAW1/014,Tahitian.,5,,-16.40,-149.30,,,https://catalog.paradisec.org.au/collections/SAW1/items/014,,speech,1971-01-01,
Fijian meke (AS2-010),audio/AS2-010-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AS2/010,"Notes copied by Al Schütz from tape boxes, not always legible. -- 10aFijian meke -- date inferred; (dialect survey data). Language as given: Fijian varieties",5,,-17.70,177.88,,,https://catalog.paradisec.org.au/collections/AS2/items/010,,music,1961-02-23,
Ba-Yasawa-Nabukeru 1960s (AS2-031a),audio/AS2-031a-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AS2/031a,Tape 31a Side I -- Ba-Yasawa-Nabukeru. Raven-Hart word list cont. from 30a. -- Ba-Naviti-Sasa. Church service. Cont. on Side II.86 ,5,,-17.99,177.88,,,https://catalog.paradisec.org.au/collections/AS2/items/031a,,music,1961-01-01,
George Abunio (JS2-F14),audio/JS2-F14-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F14,"Side A: George Abunio w/ Paula Matili, Hiki To'o Abunio + John Baptiste Albunio
Side B: again 08/12/1982 lots of Kwaio. Language as given: Fijian + Examples of Kwaio",5,,-17.80,177.88,,,https://catalog.paradisec.org.au/collections/JS2/items/F14,,speech,1982-11-05,
Charlie kelo (JS2-F20),audio/JS2-F20-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JS2/F20,"with Darrel. Language as given: Fijian, Wai, P.F. , English",5,,-17.91,177.88,,,https://catalog.paradisec.org.au/collections/JS2/items/F20,,speech,1982-11-29,
Bantu Coastal_Bantu Batanga (RB5-Bantu_Coastal_Batanga),audio/RB5-Bantu_Coastal_Batanga-STE001.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Coastal_Batanga,"Collectors listed as Roger Blench, Marieke Martin, Dan Duke. Language as given: Batanga",5,,2.28,9.75,,,https://catalog.paradisec.org.au/collections/RB5/items/Bantu_Coastal_Batanga,,speech,2010-02-11,
Bantu Chamba_Daka (RB5-Bantu_Chamba_Daka),audio/RB5-Bantu_Chamba_Daka-STE000.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RB5/Bantu_Chamba_Daka,Bantu Chamba_Daka. Language as given: Chamba,5,,8.26,11.71,,,https://catalog.paradisec.org.au/collections/RB5/items/Bantu_Chamba_Daka,,speech,2010-01-01,
"Italian Folk Ensemble - Multicultural Music Curriculum, Italy (GAC1-07)",audio/GAC1-07-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/GAC1/07,"Tape labelled ""Multicultural Music - Italy"". Language as given: Italian",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/GAC1/items/07,,music,1981-01-01,
Appignano dialect - Quinzi/Falciani/Antolini (LB3-tape1),audio/LB3-tape1-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/LB3/tape1,"Dialect elicitation from the Carta dei dialetti italiani questionnaire, taken in Campbelltown (South Australia) from siblings Gino Quinzi, Maria Falciani and Clorinda Antolini, from Appignano del Tronto, province of Ascoli Piceno. Appignano dialect, southern Marchigiano",5,,43.44,13.44,,,https://catalog.paradisec.org.au/collections/LB3/items/tape1,,speech,1980-01-01,
